Starting training
  dataset_root: dataset/cleaned
  model_type:   denoised_cnn
  epochs:       10
  batch_size:   32
  lr:           1e-4
  out_dir:      models
  max_samples:  0
Activating virtual environment and dependencies...
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo2023/x86-64-v4, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo2023/x86-64-v3, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo2023/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: facenet-pytorch in ./.venv/lib/python3.11/site-packages (2.6.0)
Using device: cuda
Training images:   160002
Validation images: 49428
Checkpoints & metrics → models/denoised_cnn/
Figures               → figures/denoised_cnn/
  [Epoch 1 | Batch 3100/5001] Avg Loss: 0.2118
  [Epoch 1 | Batch 3120/5001] Avg Loss: 0.2112
  [Epoch 1 | Batch 3140/5001] Avg Loss: 0.2105
  [Epoch 1 | Batch 3160/5001] Avg Loss: 0.2100
  [Epoch 1 | Batch 3180/5001] Avg Loss: 0.2096
  [Epoch 1 | Batch 3200/5001] Avg Loss: 0.2091
  [Epoch 1 | Batch 3220/5001] Avg Loss: 0.2087
  [Epoch 1 | Batch 3240/5001] Avg Loss: 0.2083
  [Epoch 1 | Batch 3260/5001] Avg Loss: 0.2082
  [Epoch 1 | Batch 3280/5001] Avg Loss: 0.2080
  [Epoch 1 | Batch 3300/5001] Avg Loss: 0.2075
  [Epoch 1 | Batch 3320/5001] Avg Loss: 0.2072
  [Epoch 1 | Batch 3340/5001] Avg Loss: 0.2068
  [Epoch 1 | Batch 3360/5001] Avg Loss: 0.2063
  [Epoch 1 | Batch 3380/5001] Avg Loss: 0.2059
  [Epoch 1 | Batch 3400/5001] Avg Loss: 0.2055
  [Epoch 1 | Batch 3420/5001] Avg Loss: 0.2051
  [Epoch 1 | Batch 3440/5001] Avg Loss: 0.2049
  [Epoch 1 | Batch 3460/5001] Avg Loss: 0.2045
  [Epoch 1 | Batch 3480/5001] Avg Loss: 0.2042
  [Epoch 1 | Batch 3500/5001] Avg Loss: 0.2039
  [Epoch 1 | Batch 3520/5001] Avg Loss: 0.2036
  [Epoch 1 | Batch 3540/5001] Avg Loss: 0.2031
  [Epoch 1 | Batch 3560/5001] Avg Loss: 0.2029
  [Epoch 1 | Batch 3580/5001] Avg Loss: 0.2026
  [Epoch 1 | Batch 3600/5001] Avg Loss: 0.2022
  [Epoch 1 | Batch 3620/5001] Avg Loss: 0.2018
  [Epoch 1 | Batch 3640/5001] Avg Loss: 0.2014
  [Epoch 1 | Batch 3660/5001] Avg Loss: 0.2011
  [Epoch 1 | Batch 3680/5001] Avg Loss: 0.2007
  [Epoch 1 | Batch 3700/5001] Avg Loss: 0.2004
  [Epoch 1 | Batch 3720/5001] Avg Loss: 0.2000
  [Epoch 1 | Batch 3740/5001] Avg Loss: 0.1995
  [Epoch 1 | Batch 3760/5001] Avg Loss: 0.1992
  [Epoch 1 | Batch 3780/5001] Avg Loss: 0.1988
  [Epoch 1 | Batch 3800/5001] Avg Loss: 0.1985
  [Epoch 1 | Batch 3820/5001] Avg Loss: 0.1982
  [Epoch 1 | Batch 3840/5001] Avg Loss: 0.1979
  [Epoch 1 | Batch 3860/5001] Avg Loss: 0.1977
  [Epoch 1 | Batch 3880/5001] Avg Loss: 0.1971
  [Epoch 1 | Batch 3900/5001] Avg Loss: 0.1968
  [Epoch 1 | Batch 3920/5001] Avg Loss: 0.1964
  [Epoch 1 | Batch 3940/5001] Avg Loss: 0.1961
  [Epoch 1 | Batch 3960/5001] Avg Loss: 0.1958
  [Epoch 1 | Batch 3980/5001] Avg Loss: 0.1954
  [Epoch 1 | Batch 4000/5001] Avg Loss: 0.1950
  [Epoch 1 | Batch 4020/5001] Avg Loss: 0.1948
  [Epoch 1 | Batch 4040/5001] Avg Loss: 0.1944
  [Epoch 1 | Batch 4060/5001] Avg Loss: 0.1941
  [Epoch 1 | Batch 4080/5001] Avg Loss: 0.1937
  [Epoch 1 | Batch 4100/5001] Avg Loss: 0.1934
  [Epoch 1 | Batch 4120/5001] Avg Loss: 0.1934
  [Epoch 1 | Batch 4140/5001] Avg Loss: 0.1932
  [Epoch 1 | Batch 4160/5001] Avg Loss: 0.1929
  [Epoch 1 | Batch 4180/5001] Avg Loss: 0.1925
  [Epoch 1 | Batch 4200/5001] Avg Loss: 0.1923
  [Epoch 1 | Batch 4220/5001] Avg Loss: 0.1922
  [Epoch 1 | Batch 4240/5001] Avg Loss: 0.1919
  [Epoch 1 | Batch 4260/5001] Avg Loss: 0.1915
  [Epoch 1 | Batch 4280/5001] Avg Loss: 0.1912
  [Epoch 1 | Batch 4300/5001] Avg Loss: 0.1908
  [Epoch 1 | Batch 4320/5001] Avg Loss: 0.1906
  [Epoch 1 | Batch 4340/5001] Avg Loss: 0.1904
  [Epoch 1 | Batch 4360/5001] Avg Loss: 0.1902
  [Epoch 1 | Batch 4380/5001] Avg Loss: 0.1898
  [Epoch 1 | Batch 4400/5001] Avg Loss: 0.1897
  [Epoch 1 | Batch 4420/5001] Avg Loss: 0.1895
  [Epoch 1 | Batch 4440/5001] Avg Loss: 0.1892
  [Epoch 1 | Batch 4460/5001] Avg Loss: 0.1889
  [Epoch 1 | Batch 4480/5001] Avg Loss: 0.1886
  [Epoch 1 | Batch 4500/5001] Avg Loss: 0.1885
  [Epoch 1 | Batch 4520/5001] Avg Loss: 0.1882
  [Epoch 1 | Batch 4540/5001] Avg Loss: 0.1879
  [Epoch 1 | Batch 4560/5001] Avg Loss: 0.1876
  [Epoch 1 | Batch 4580/5001] Avg Loss: 0.1873
  [Epoch 1 | Batch 4600/5001] Avg Loss: 0.1871
  [Epoch 1 | Batch 4620/5001] Avg Loss: 0.1868
  [Epoch 1 | Batch 4640/5001] Avg Loss: 0.1866
  [Epoch 1 | Batch 4660/5001] Avg Loss: 0.1864
  [Epoch 1 | Batch 4680/5001] Avg Loss: 0.1861
  [Epoch 1 | Batch 4700/5001] Avg Loss: 0.1859
  [Epoch 1 | Batch 4720/5001] Avg Loss: 0.1856
  [Epoch 1 | Batch 4740/5001] Avg Loss: 0.1853
  [Epoch 1 | Batch 4760/5001] Avg Loss: 0.1851
  [Epoch 1 | Batch 4780/5001] Avg Loss: 0.1849
  [Epoch 1 | Batch 4800/5001] Avg Loss: 0.1846
  [Epoch 1 | Batch 4820/5001] Avg Loss: 0.1845
  [Epoch 1 | Batch 4840/5001] Avg Loss: 0.1843
  [Epoch 1 | Batch 4860/5001] Avg Loss: 0.1841
  [Epoch 1 | Batch 4880/5001] Avg Loss: 0.1838
  [Epoch 1 | Batch 4900/5001] Avg Loss: 0.1835
  [Epoch 1 | Batch 4920/5001] Avg Loss: 0.1832
  [Epoch 1 | Batch 4940/5001] Avg Loss: 0.1830
  [Epoch 1 | Batch 4960/5001] Avg Loss: 0.1827
  [Epoch 1 | Batch 4980/5001] Avg Loss: 0.1825
  [Epoch 1 | Batch 5000/5001] Avg Loss: 0.1823
Epoch 1/10 — train loss: 0.1823 — 1380.1s
  val loss: 0.1650  |  AUC: 0.9836  |  Acc: 0.9296  |  P: 0.9247  R: 0.9357  F1: 0.9302
  >> Saved best checkpoint to models/denoised_cnn/best_denoised_cnn.pt
  [Epoch 2 | Batch 0/5001] Avg Loss: 0.0550
  [Epoch 2 | Batch 20/5001] Avg Loss: 0.1036
  [Epoch 2 | Batch 40/5001] Avg Loss: 0.0978
  [Epoch 2 | Batch 60/5001] Avg Loss: 0.0908
  [Epoch 2 | Batch 80/5001] Avg Loss: 0.0931
  [Epoch 2 | Batch 100/5001] Avg Loss: 0.0967
  [Epoch 2 | Batch 120/5001] Avg Loss: 0.0976
  [Epoch 2 | Batch 140/5001] Avg Loss: 0.0992
  [Epoch 2 | Batch 160/5001] Avg Loss: 0.1024
  [Epoch 2 | Batch 180/5001] Avg Loss: 0.1023
  [Epoch 2 | Batch 200/5001] Avg Loss: 0.1063
  [Epoch 2 | Batch 220/5001] Avg Loss: 0.1055
  [Epoch 2 | Batch 240/5001] Avg Loss: 0.1066
  [Epoch 2 | Batch 260/5001] Avg Loss: 0.1062
  [Epoch 2 | Batch 280/5001] Avg Loss: 0.1089
  [Epoch 2 | Batch 300/5001] Avg Loss: 0.1073
  [Epoch 2 | Batch 320/5001] Avg Loss: 0.1095
  [Epoch 2 | Batch 340/5001] Avg Loss: 0.1087
  [Epoch 2 | Batch 360/5001] Avg Loss: 0.1098
  [Epoch 2 | Batch 380/5001] Avg Loss: 0.1115
  [Epoch 2 | Batch 400/5001] Avg Loss: 0.1132
  [Epoch 2 | Batch 420/5001] Avg Loss: 0.1132
  [Epoch 2 | Batch 440/5001] Avg Loss: 0.1139
  [Epoch 2 | Batch 460/5001] Avg Loss: 0.1137
  [Epoch 2 | Batch 480/5001] Avg Loss: 0.1140
  [Epoch 2 | Batch 500/5001] Avg Loss: 0.1127
  [Epoch 2 | Batch 520/5001] Avg Loss: 0.1115
